let,num,pref_en,cityname_en,pref_ja,cityname_ja
訪,20,osaka,sakainishi,大阪府,堺市西区
坂,35,fukui,sakai,福井県,坂井市
北,282,hokkaido,kamifurano,北海道,空知郡上富良野町
佃,3,aomori,aomori,青森県,青森市
三,260,osaka,sakai,大阪府,堺市堺区
ツ,14,akita,noshiro,秋田県,能代市
池,39,aichi,inazawa,愛知県,稲沢市
公,8,osaka,sakainishi,大阪府,堺市西区
園,46,hyogo,nishinomiya,兵庫県,西宮市
獅,2,nagasaki,hirado,長崎県,平戸市
子,26,hyogo,nishinomiya,兵庫県,西宮市
ケ,120,kyoto,sakyo,京都府,京都市左京区
の,25,yamaguchi,shimonoseki,山口県,下関市
矢,15,hyogo,aioi,兵庫県,相生市
梶,4,fukuoka,nakagawa,福岡県,那珂川市
山,138,tokushima,yoshinogawa,徳島県,吉野川市
江,88,fukui,sakai,福井県,坂井市
崎,74,kyoto,sakyo,京都府,京都市左京区
屋,80,kyoto,shimogyo,京都府,京都市下京区
松,68,kyoto,sakyo,京都府,京都市左京区
斎,3,yamagata,tsuruoka,山形県,鶴岡市
藤,21,tochigi,tochigi,栃木県,栃木市
分,32,kagoshima,kirishima,鹿児島県,霧島市
反,8,kyoto,ukyo,京都府,京都市右京区
六,55,hokkaido,kamifurano,北海道,空知郡上富良野町
角,12,akita,senboku,秋田県,仙北市
橋,72,toyama,toyama,富山県,富山市
泉,50,ishikawa,kaga,石川県,加賀市
栗,52,hokkaido,iwamizawa,北海道,岩見沢市
丸,117,fukui,sakai,福井県,坂井市
高,74,kyoto,sakyo,京都府,京都市左京区
宝,18,osaka,sakai,大阪府,堺市堺区
恵,5,hokkaido,eniwa,北海道,恵庭市
比,14,akita,odate,秋田県,大館市
須,16,kochi,konan,高知県,香南市
千,19,chiba,minamiboso,千葉県,南房総市
若,22,ishikawa,suzu,石川県,珠洲市
鈴,6,shizuoka,fuji,静岡県,富士市
繁,2,aomori,tsugaru,青森県,つがる市
瑞,15,nagasaki,unzen,長崎県,雲仙市
穂,18,hokkaido,higashi,北海道,札幌市東区
新,101,toyama,toyama,富山県,富山市
浦,45,nagasaki,iki,長崎県,壱岐市
出,54,hyogo,toyooka,兵庫県,豊岡市
守,7,fukui,fukui,福井県,福井市
星,13,okayama,ibara,岡山県,井原市
神,89,hokkaido,asahikawa,北海道,旭川市
奈,46,kyoto,yawata,京都府,八幡市
川,161,iwate,oshu,岩手県,奥州市
青,28,tottori,tottori,鳥取県,鳥取市
木,78,kyoto,kyotanabe,京都府,京田辺市
桐,3,gifu,takayama,岐阜県,高山市
畑,70,kyoto,ukyo,京都府,京都市右京区
金,33,miyagi,kurihara,宮城県,栗原市
港,12,akita,oga,秋田県,男鹿市
内,74,kyoto,kyotanabe,京都府,京田辺市
二,237,osaka,sakai,大阪府,堺市堺区
幸,9,hokkaido,obihiro,北海道,帯広市
家,18,hiroshima,fukuyama,広島県,福山市
太,84,kyoto,ukyo,京都府,京都市右京区
立,11,fukuoka,yame,福岡県,八女市
榎,12,osaka,sakai,大阪府,堺市堺区
旭,30,hokkaido,asahikawa,北海道,旭川市
丘,111,osaka,sakai,大阪府,堺市堺区
之,101,osaka,sakai,大阪府,堺市堺区
白,42,kyoto,sakyo,京都府,京都市左京区
幡,104,kyoto,yawata,京都府,八幡市
七,47,hokkaido,kamifurano,北海道,空知郡上富良野町
口,69,shiga,koka,滋賀県,甲賀市
楽,41,hokkaido,asahikawa,北海道,旭川市
鳥,64,kyoto,minami,京都府,京都市南区
越,13,kyoto,ukyo,京都府,京都市右京区
亀,19,kyoto,fushimi,京都府,京都市伏見区
住,82,kyoto,kyotanabe,京都府,京田辺市
南,222,hokkaido,obihiro,北海道,帯広市
羽,63,kyoto,minami,京都府,京都市南区
渡,13,hokkaido,iwamizawa,北海道,岩見沢市
片,10,mie,tsu,三重県,津市
倉,35,kyoto,sakyo,京都府,京都市左京区
枚,3,aomori,sotogahama,青森県,東津軽郡外ケ浜町
伊,20,kagoshima,hioki,鹿児島県,日置市
勢,30,mie,inabe,三重県,いなべ市
戸,32,kyoto,kyotanabe,京都府,京田辺市
部,45,kyoto,nantan,京都府,南丹市
御,43,kyoto,yamashina,京都府,京都市山科区
所,14,kyoto,fushimi,京都府,京都市伏見区
赤,26,miyagi,kesennuma,宮城県,気仙沼市
門,108,ishikawa,wajima,石川県,輪島市
老,6,osaka,sakai,大阪府,堺市堺区
桜,14,shimane,gotsu,島根県,江津市
沼,28,miyagi,tome,宮城県,登米市
み,6,kanagawa,aoba,神奈川県,横浜市青葉区
な,3,miyagi,kesennuma,宮城県,気仙沼市
と,3,hokkaido,kitami,北海道,北見市
ら,9,mie,nabari,三重県,名張市
い,6,hokkaido,kita,北海道,札幌市北区
花,32,kyoto,ukyo,京都府,京都市右京区
咲,4,chiba,funabashi,千葉県,船橋市
紅,2,aichi,kita,愛知県,名古屋市北区
葉,12,osaka,ibaraki,大阪府,枚方市
霞,8,osaka,sakai,大阪府,堺市堺区
境,23,gunma,isesaki,群馬県,伊勢崎市
前,108,ishikawa,wajima,石川県,輪島市
久,58,kyoto,kyotango,京都府,京丹後市
保,33,hyogo,tatsuno,兵庫県,たつの市
棚,9,hokkaido,setana,北海道,久遠郡せたな町
浅,19,shiga,nagahama,滋賀県,長浜市
間,34,ehime,uwajima,愛媛県,宇和島市
軽,3,niigata,nagaoka,新潟県,長岡市
楠,12,osaka,ibaraki,大阪府,枚方市
錦,16,osaka,sakai,大阪府,堺市堺区
牧,14,kanagawa,naka,神奈川県,横浜市中区
根,27,gifu,motosu,岐阜県,本巣市
加,73,gifu,kagamihara,岐阜県,各務原市
曽,11,fukuoka,kokuraminami,福岡県,北九州市小倉南区
袋,29,miyagi,kami,宮城県,加美郡加美町
滝,37,kyoto,ukyo,京都府,京都市右京区
里,114,miyagi,tome,宮城県,登米市
か,3,saitama,kawagoe,埼玉県,川越市
も,3,shimane,masuda,島根県,益田市
め,2,saitama,matsubushi,埼玉県,北葛飾郡松伏町
万,13,hokkaido,iwamizawa,北海道,岩見沢市
代,22,saga,imari,佐賀県,伊万里市
初,5,kanagawa,miura,神奈川県,三浦市
音,65,hokkaido,kushiro,北海道,釧路市
海,44,gifu,kaidsu,岐阜県,海津市
真,12,hokkaido,minami,北海道,札幌市南区
砂,38,hyogo,takasago,兵庫県,高砂市
相,21,saga,karatsu,佐賀県,唐津市
佐,61,kochi,kami,高知県,香美市
福,40,toyama,takaoka,富山県,高岡市
荒,15,fukui,katsuyama,福井県,勝山市
方,199,miyagi,tome,宮城県,登米市
原,241,miyagi,kami,宮城県,加美郡加美町
郷,50,nagasaki,saikai,長崎県,西海市
豆,4,miyagi,kurihara,宮城県,栗原市
妙,13,gunma,tomioka,群馬県,富岡市
香,40,hyogo,kami,兵庫県,美方郡香美町
竹,43,kyoto,kita,京都府,京都市北区
柏,17,hyogo,tanba,兵庫県,丹波市
石,57,hyogo,toyooka,兵庫県,豊岡市
影,8,hyogo,higashinada,兵庫県,神戸市東灘区
寿,6,gifu,hashima,岐阜県,羽島市
不,11,kumamoto,uki,熊本県,宇城市
翁,4,osaka,sakai,大阪府,堺市堺区
蓬,3,fukushima,hirata,福島県,石川郡平田村
莱,3,miyagi,kami,宮城県,加美郡加美町
衣,158,iwate,oshu,岩手県,奥州市
芝,28,osaka,sakainishi,大阪府,堺市西区
塚,17,kyoto,yamashina,京都府,京都市山科区
簑,1,kanagawa,naka,神奈川県,横浜市中区
打,32,kyoto,kyotanabe,京都府,京田辺市
鷺,15,wakayama,wakayama,和歌山県,和歌山市
緑,32,osaka,sakai,大阪府,堺市堺区
満,7,osaka,kaizuka,大阪府,高槻市
歳,8,oita,bungoono,大分県,豊後大野市
長,67,yamaguchi,shimonoseki,山口県,下関市
者,2,fukuoka,kasuya,福岡県,糟屋郡粕屋町
吹,11,kagoshima,hioki,鹿児島県,日置市
弥,15,kyoto,kyotango,京都府,京丹後市
曙,12,hokkaido,teine,北海道,札幌市手稲区
常,19,kyoto,ukyo,京都府,京都市右京区
盤,19,kyoto,ukyo,京都府,京都市右京区
黄,2,hokkaido,eniwa,北海道,恵庭市
ノ,138,wakayama,wakayama,和歌山県,和歌山市
英,8,hyogo,himeji,兵庫県,姫路市
十,345,hokkaido,kamifurano,北海道,空知郡上富良野町
横,48,kyoto,fushimi,京都府,京都市伏見区
毛,5,wakayama,wakayama,和歌山県,和歌山市
枝,13,kyoto,nishikyo,京都府,京都市西京区
村,43,hyogo,kami,兵庫県,美方郡香美町
別,167,hokkaido,kushiro,北海道,釧路市
堀,50,niigata,chuo,新潟県,新潟市中央区
睦,2,akita,yokote,秋田県,横手市
王,51,kyoto,kyotanabe,京都府,京田辺市
唐,37,miyagi,kesennuma,宮城県,気仙沼市
世,17,kagoshima,minamisatsuma,鹿児島県,南さつま市
八,172,toyama,toyama,富山県,富山市
舟,16,tochigi,tochigi,栃木県,栃木市
永,49,hokkaido,asahikawa,北海道,旭川市
蒔,3,fukushima,miharu,福島県,田村郡三春町
土,57,kochi,kami,高知県,香美市
共,16,hokkaido,kushiro,北海道,釧路市
進,2,aichi,minato,愛知県,名古屋市港区
宿,28,osaka,sakai,大阪府,堺市堺区
春,117,aichi,kiyosu,愛知県,清須市
伏,18,toyama,takaoka,富山県,高岡市
弘,5,kochi,kochi,高知県,高知市
明,20,aichi,konan,愛知県,江南市
清,23,miyagi,kami,宮城県,加美郡加美町
水,80,toyama,toyama,富山県,富山市
庚,4,nagasaki,unzen,長崎県,雲仙市
仏,6,kyoto,shimogyo,京都府,京都市下京区
法,5,iwate,morioka,岩手県,盛岡市
瀬,56,kagoshima,amami,鹿児島県,奄美市
帷,3,gifu,kani,岐阜県,可児市
権,4,aichi,nagakute,愛知県,長久手市
今,32,shiga,takashima,滋賀県,高島市
岩,66,aichi,nagakute,愛知県,長久手市
月,34,shiga,nagahama,滋賀県,長浜市
鎌,4,chiba,kamagaya,千葉県,鎌ヶ谷市
峰,35,kyoto,kyotango,京都府,京丹後市
辺,48,kyoto,kyotanabe,京都府,京田辺市
狩,4,yamanashi,otsuki,山梨県,大月市
釜,28,iwate,takizawa,岩手県,滝沢市
杉,15,mie,tsu,三重県,津市
磯,18,miyagi,kesennuma,宮城県,気仙沼市
地,32,iwate,fudai,岩手県,下閉伊郡普代村
森,20,osaka,sakainishi,大阪府,堺市西区
鳳,70,osaka,sakainishi,大阪府,堺市西区
坪,8,kyoto,kyotanabe,京都府,京田辺市
呑,2,hiroshima,fukuyama,広島県,福山市
氷,46,hyogo,tanba,兵庫県,丹波市
取,35,kyoto,kyotanabe,京都府,京田辺市
洋,5,hiroshima,minami,広島県,広島市南区
光,45,hokkaido,asahikawa,北海道,旭川市
が,67,mie,nabari,三重県,名張市
泥,2,iwate,hachimantai,岩手県,八幡平市
柳,33,gifu,gifu,岐阜県,岐阜市
景,2,nagasaki,nagasaki,長崎県,長崎市
利,27,toyama,nanto,富山県,南砺市
能,22,ishikawa,nanao,石川県,七尾市
津,47,gifu,kaidsu,岐阜県,海津市
ず,9,mie,nabari,三重県,名張市
乙,22,aichi,handa,愛知県,半田市
舳,1,kanagawa,kanazawa,神奈川県,横浜市金沢区
洲,8,hyogo,amagasaki,兵庫県,尼崎市
潟,13,akita,nikaho,秋田県,にかほ市
道,37,miyagi,shichikashuku,宮城県,刈田郡七ヶ宿町
帆,13,hyogo,minamiawaji,兵庫県,南あわじ市
昭,12,hokkaido,obihiro,北海道,帯広市
柴,9,fukushima,kitakata,福島県,喜多方市
並,7,gifu,gujo,岐阜県,郡上市
篠,34,iwate,takizawa,岩手県,滝沢市
菊,25,hokkaido,shiroishi,北海道,札幌市白石区
名,54,kagoshima,amami,鹿児島県,奄美市
机,1,kanagawa,kohoku,神奈川県,横浜市港北区
師,10,osaka,sakainaka,大阪府,堺市中区
樽,8,hokkaido,ishikari,北海道,石狩市
綱,3,kanagawa,kohoku,神奈川県,横浜市港北区
箕,14,gunma,takasaki,群馬県,高崎市
輪,4,chiba,kimitsu,千葉県,君津市
深,137,kyoto,fushimi,京都府,京都市伏見区
俣,9,mie,ise,三重県,伊勢市
秋,13,aichi,ichinomiya,愛知県,一宮市
雀,7,kyoto,shimogyo,京都府,京都市下京区
舞,10,hokkaido,monbetsu,北海道,紋別市
汲,13,gifu,ibigawa,岐阜県,揖斐郡揖斐川町
品,6,hiroshima,minami,広島県,広島市南区
濃,37,mie,tsu,三重県,津市
芹,4,shiga,hikone,滋賀県,彦根市
笹,5,toyama,toyama,富山県,富山市
限,1,kanagawa,konan,神奈川県,横浜市港南区
最,7,miyagi,kesennuma,宮城県,気仙沼市
庭,9,osaka,sakaiminami,大阪府,堺市南区
作,67,aichi,nagakute,愛知県,長久手市
希,5,mie,nabari,三重県,名張市
望,3,kanagawa,asahi,神奈川県,横浜市旭区
騎,1,kanagawa,asahi,神奈川県,横浜市旭区
左,4,aomori,shichinohe,青森県,上北郡七戸町
近,9,gifu,hashima,岐阜県,羽島市
さ,3,okayama,naka,岡山県,岡山市中区
ち,2,tochigi,mibu,栃木県,下都賀郡壬生町
四,129,osaka,sakai,大阪府,堺市堺区
季,3,hiroshima,hatsukaichi,広島県,廿日市市
美,53,kyoto,kyotango,京都府,京丹後市
指,23,fukushima,aidsuwakamatsu,福島県,会津若松市
都,12,tochigi,tochigi,栃木県,栃木市
鴨,46,kyoto,sakyo,京都府,京都市左京区
居,42,hokkaido,asahikawa,北海道,旭川市
霧,10,hyogo,akashi,兵庫県,明石市
朔,2,kanagawa,yokohamamidori,神奈川県,横浜市緑区
砥,4,miyagi,tome,宮城県,登米市
治,22,tottori,tottori,鳥取県,鳥取市
ぶ,1,kanagawa,yokohamamidori,神奈川県,横浜市緑区
き,4,fukuoka,wakamatsu,福岡県,北九州市若松区
阿,224,hokkaido,kushiro,北海道,釧路市
敷,25,wakayama,wakayama,和歌山県,和歌山市
卸,3,niigata,higashi,新潟県,新潟市東区
五,58,osaka,sakai,大阪府,堺市堺区
貫,8,fukuoka,kokuraminami,福岡県,北九州市小倉南区
目,72,hokkaido,shiroishi,北海道,札幌市白石区
笠,26,kyoto,kita,京都府,京都市北区
桂,57,kyoto,nishikyo,京都府,京都市西京区
庄,24,oita,yufu,大分県,由布市
犬,14,oita,bungoono,大分県,豊後大野市
陽,12,osaka,sakai,大阪府,堺市堺区
鍛,3,kumamoto,chuo,熊本県,熊本市中央区
冶,7,shimane,izumo,島根県,出雲市
飯,33,mie,matsusaka,三重県,松阪市
領,11,hiroshima,shobara,広島県,庄原市
百,56,osaka,sakaimihara,大阪府,堺市北区
合,22,kumamoto,minami,熊本県,熊本市南区
志,40,miyagi,kurihara,宮城県,栗原市
良,47,gifu,gifu,岐阜県,岐阜市
恩,4,osaka,izumisano,大阪府,八尾市
す,10,mie,nabari,三重県,名張市
よ,3,hyogo,kita,兵庫県,神戸市北区
し,5,hokkaido,kiyota,北海道,札幌市清田区
あ,6,hokkaido,kita,北海道,札幌市北区
ざ,2,kanagawa,aoba,神奈川県,横浜市青葉区
成,31,miyagi,kurihara,宮城県,栗原市
つ,38,mie,nabari,三重県,名張市
り,18,yamagata,higashine,山形県,東根市
じ,18,mie,nabari,三重県,名張市
梅,82,kyoto,ukyo,京都府,京都市右京区
荏,3,kanagawa,aoba,神奈川県,横浜市青葉区
草,137,kyoto,fushimi,京都府,京都市伏見区
た,2,kanagawa,aoba,神奈川県,横浜市青葉区
ば,2,aichi,miyoshi,愛知県,みよし市
柿,7,hiroshima,etajima,広島県,江田島市
け,3,shimane,masuda,島根県,益田市
え,2,hokkaido,ebetsu,北海道,江別市
ぎ,2,hokkaido,ebetsu,北海道,江別市
風,19,hokkaido,nayoro,北海道,名寄市
鉄,5,aomori,sotogahama,青森県,東津軽郡外ケ浜町
ね,1,kanagawa,aoba,神奈川県,横浜市青葉区
早,7,gifu,gifu,岐阜県,岐阜市
渕,5,gunma,takasaki,群馬県,高崎市
牛,15,kyoto,nishikyo,京都府,京都市西京区
賀,129,kyoto,kita,京都府,京都市北区
茅,4,yamagata,tsuruoka,山形県,鶴岡市
勝,23,nagasaki,iki,長崎県,壱岐市
折,8,aichi,konan,愛知県,江南市
熊,21,wakayama,shingu,和歌山県,新宮市
葛,8,shiga,otsu,滋賀県,大津市
れ,2,aichi,seto,愛知県,瀬戸市
ゆ,3,chiba,midori,千葉県,千葉市緑区
塩,28,yamanashi,koshu,山梨県,甲州市
殿,13,kyoto,kamigyo,京都府,京都市上京区
夜,16,kochi,konan,高知県,香南市
浮,14,fukuoka,ukiha,福岡県,うきは市
鋼,1,kanagawa,kawasaki,神奈川県,川崎市川崎区
管,1,kanagawa,kawasaki,神奈川県,川崎市川崎区
追,4,kanagawa,yokosuka,神奈川県,横須賀市
京,106,kyoto,ukyo,京都府,京都市右京区
貝,5,niigata,nagaoka,新潟県,長岡市
来,31,nagasaki,isahaya,長崎県,諫早市
河,43,tottori,tottori,鳥取県,鳥取市
観,7,hiroshima,nishi,広島県,広島市西区
駅,18,hiroshima,fukuyama,広島県,福山市
堤,6,kyoto,ukyo,京都府,京都市右京区
鹿,134,miyagi,kami,宮城県,加美郡加美町
紺,4,kumamoto,chuo,熊本県,熊本市中央区
遠,9,fukushima,iwaki,福島県,いわき市
古,96,miyagi,osaki,宮城県,大崎市
城,43,hiroshima,shobara,広島県,庄原市
等,5,kyoto,kita,京都府,京都市北区
々,34,hokkaido,kushiro,北海道,釧路市
力,8,aichi,konan,愛知県,江南市
陣,6,fukuoka,kurume,福岡県,久留米市
苅,10,fukushima,kitakata,福島県,喜多方市
祗,1,kanagawa,nakahara,神奈川県,川崎市中原区
延,4,hokkaido,bibai,北海道,美唄市
年,6,hyogo,ako,兵庫県,赤穂市
蟹,44,aomori,sotogahama,青森県,東津軽郡外ケ浜町
母,3,aichi,toyota,愛知県,豊田市
溝,9,gifu,gifu,岐阜県,岐阜市
宇,57,nara,uda,奈良県,宇陀市
布,15,hokkaido,kushiro,北海道,釧路市
堰,8,miyagi,kami,宮城県,加美郡加美町
登,21,ishikawa,nanao,石川県,七尾市
枡,1,kanagawa,tama,神奈川県,川崎市多摩区
形,13,akita,akita,秋田県,秋田市
仙,14,osaka,sakai,大阪府,堺市堺区
稲,19,hokkaido,teine,北海道,札幌市手稲区
呂,13,hokkaido,kitami,北海道,北見市
蔵,14,oita,kunisaki,大分県,国東市
有,29,nagasaki,minamishimabara,長崎県,南島原市
や,2,yamagata,yamagata,山形県,山形市
絹,1,kanagawa,miyamae,神奈川県,川崎市宮前区
麻,18,hokkaido,ebetsu,北海道,江別市
禅,8,kyoto,sakyo,京都府,京都市左京区
程,1,kanagawa,asou,神奈川県,川崎市麻生区
虹,2,mie,matsusaka,三重県,松阪市
多,26,saga,imari,佐賀県,伊万里市
摩,22,fukuoka,itoshima,福岡県,糸島市
細,14,hyogo,miki,兵庫県,三木市
は,2,kochi,kochi,高知県,高知市
る,2,chiba,kisaradsu,千葉県,木更津市
ひ,5,hokkaido,higashikagura,北海道,上川郡東神楽町
九,75,kyoto,minami,京都府,京都市南区
寸,1,kanagawa,sagamiharamidori,神奈川県,相模原市緑区
嵐,22,kyoto,nishikyo,京都府,京都市西京区
又,7,gifu,gifu,岐阜県,岐阜市
ヶ,111,osaka,sakai,大阪府,堺市堺区
与,17,niigata,nagaoka,新潟県,長岡市
澤,6,yamanashi,hokuto,山梨県,北杜市
連,19,hokkaido,nayoro,北海道,名寄市
模,3,kanagawa,sagamiharaminami,神奈川県,相模原市南区
淵,6,iwate,tono,岩手県,遠野市
由,12,shizuoka,shimizu,静岡県,静岡市清水区
武,14,oita,kunisaki,大分県,国東市
当,3,kyoto,sakyo,京都府,京都市左京区
林,20,hyogo,himeji,兵庫県,姫路市
団,9,hokkaido,asahikawa,北海道,旭川市
文,17,akita,yokote,秋田県,横手市
鵜,38,iwate,takizawa,岩手県,滝沢市
双,5,ehime,iyo,愛媛県,伊予市
湘,2,kanagawa,yokosuka,神奈川県,横須賀市
国,55,fukui,sakai,福井県,坂井市
際,2,miyagi,shichikashuku,宮城県,刈田郡七ヶ宿町
芦,37,nagasaki,iki,長崎県,壱岐市
鷹,45,kyoto,kita,京都府,京都市北区
船,29,fukushima,tamura,福島県,田村市
グ,2,fukushima,inawashiro,福島県,耶麻郡猪苗代町
リ,5,hokkaido,kushiro,北海道,釧路市
ー,4,toyama,takaoka,富山県,高岡市
ン,6,hokkaido,kushiro,北海道,釧路市
ハ,2,kanagawa,yokosuka,神奈川県,横須賀市
イ,4,hokkaido,teshio,北海道,天塩郡天塩町
科,2,ishikawa,kanazawa,石川県,金沢市
ラ,2,hokkaido,ishikari,北海道,石狩市
ド,1,kanagawa,yokosuka,神奈川県,横須賀市
粟,11,kyoto,higashiyama,京都府,京都市東山区
荻,22,oita,taketa,大分県,竹田市
猿,9,yamanashi,otsuki,山梨県,大月市
箱,7,nagasaki,iki,長崎県,壱岐市
泊,87,niigata,nagaoka,新潟県,長岡市
逸,3,kanagawa,yokosuka,神奈川県,横須賀市
針,7,niigata,nishi,新潟県,新潟市西区
走,2,shizuoka,shimizu,静岡県,静岡市清水区
米,13,miyagi,tome,宮城県,登米市
斗,2,iwate,ninohe,岩手県,二戸市
夏,3,chiba,funabashi,千葉県,船橋市
達,9,osaka,shijonawate,大阪府,泉南市
徳,20,yamaguchi,yamaguchi,山口県,山口市
堂,22,kyoto,shimogyo,京都府,京都市下京区
札,6,hokkaido,shiroishi,北海道,札幌市白石区
龍,30,hyogo,tatsuno,兵庫県,たつの市
菫,1,kanagawa,hiratsuka,神奈川県,平塚市
袖,4,chiba,sodegaura,千葉県,袖ヶ浦市
重,28,oita,bungoono,大分県,豊後大野市
官,1,kanagawa,hiratsuka,神奈川県,平塚市
桃,68,kyoto,fushimi,京都府,京都市伏見区
附,6,iwate,tono,岩手県,遠野市
撫,12,tokushima,naruto,徳島県,鳴門市
夕,6,osaka,sakai,大阪府,堺市堺区
縄,5,kyoto,kita,京都府,京都市北区
ぐ,1,kanagawa,hiratsuka,神奈川県,平塚市
瀞,1,kanagawa,hiratsuka,神奈川県,平塚市
纒,1,kanagawa,hiratsuka,神奈川県,平塚市
持,5,kyoto,kita,京都府,京都市北区
嶺,5,okinawa,naha,沖縄県,那覇市
鍋,7,saga,saga,佐賀県,佐賀市
腰,5,aichi,inazawa,愛知県,稲沢市
階,3,hyogo,himeji,兵庫県,姫路市
関,19,mie,kameyama,三重県,亀山市
笛,2,chiba,okita,千葉県,夷隅郡大多喜町
浄,16,kyoto,sakyo,京都府,京都市左京区
材,14,osaka,sakai,大阪府,堺市堺区
座,3,nagasaki,nagasaki,長崎県,長崎市
ガ,15,hyogo,takaradsuka,兵庫県,宝塚市
極,64,kyoto,ukyo,京都府,京都市右京区
雪,8,nagasaki,saikai,長崎県,西海市
助,5,tochigi,ashikaga,栃木県,足利市
玉,25,saitama,honjo,埼玉県,本庄市
植,45,kumamoto,kita,熊本県,熊本市北区
廻,5,aichi,nagakute,愛知県,長久手市
勒,1,kanagawa,fujisawa,神奈川県,藤沢市
辻,13,kyoto,yamashina,京都府,京都市山科区
鵠,10,kanagawa,fujisawa,神奈川県,藤沢市
柄,2,fukui,echizen,福井県,越前市
橘,10,gunma,shibukawa,群馬県,渋川市
鋸,1,kanagawa,fujisawa,神奈川県,藤沢市
後,35,kyoto,kyotango,京都府,京丹後市
円,8,wakayama,wakayama,和歌山県,和歌山市
行,14,saitama,kawaguchi,埼玉県,川口市
旗,7,mie,nabari,三重県,名張市
荷,5,kyoto,fushimi,京都府,京都市伏見区
そ,1,kanagawa,fujisawa,神奈川県,藤沢市
獺,1,kanagawa,fujisawa,神奈川県,藤沢市
戻,1,kanagawa,fujisawa,神奈川県,藤沢市
菖,12,saitama,kuki,埼玉県,久喜市
蒲,12,saitama,kuki,埼玉県,久喜市
用,17,tottori,tottori,鳥取県,鳥取市
祭,10,tochigi,utsunomiya,栃木県,宇都宮市
府,59,yamaguchi,shimonoseki,山口県,下関市
字,547,miyagi,kami,宮城県,加美郡加美町
板,17,niigata,nagaoka,新潟県,長岡市
窪,10,fukushima,iwaki,福島県,いわき市
匂,3,kanagawa,odawara,神奈川県,小田原市
我,17,kochi,konan,高知県,香南市
酒,3,chiba,sakae,千葉県,印旛郡栄町
穴,5,miyagi,kami,宮城県,加美郡加美町
桑,37,miyagi,kesennuma,宮城県,気仙沼市
蓮,6,chiba,sanmu,千葉県,山武市
正,18,gifu,hashima,岐阜県,羽島市
友,6,mie,iga,三重県,伊賀市
鬼,8,hokkaido,obira,北海道,留萌郡小平町
栢,2,saitama,kuki,埼玉県,久喜市
萩,18,aichi,ichinomiya,愛知県,一宮市
